Product Name,Manufacturer,Sensor Type,Dual Sensor,Pump Included,Reservoir Required,Controller Included,Warranty (Years)
Tunze Osmolator 3155,Tunze,Optical,TRUE,TRUE,TRUE,TRUE,2
Tunze Osmolator Nano 3152,Tunze,Float,FALSE,TRUE,TRUE,TRUE,2
AutoAqua Smart ATO Lite,AutoAqua,Optical,FALSE,TRUE,TRUE,TRUE,1
AutoAqua Smart ATO Micro,AutoAqua,Optical,FALSE,TRUE,TRUE,TRUE,1
AutoAqua Smart ATO Duo,AutoAqua,Optical,TRUE,TRUE,TRUE,TRUE,1
XP Aqua Duetto 2,XP Aqua,Hybrid,TRUE,TRUE,TRUE,TRUE,1
XP Aqua Duetto ATO,XP Aqua,Hybrid,TRUE,TRUE,TRUE,TRUE,1
Hydros ATO Kit,CoralVue,Optical,TRUE,FALSE,TRUE,TRUE,2
Hydros ATO Auto Top Off Kit,CoralVue,Optical,TRUE,TRUE,TRUE,TRUE,2
Neptune ATK v2,Neptune Systems,Optical,TRUE,TRUE,TRUE,TRUE,2
Red Sea ReefATO+,Red Sea,Optical,TRUE,TRUE,TRUE,TRUE,2
Reef Factory Smart ATO,Reef Factory,Optical,TRUE,TRUE,TRUE,TRUE,2
Kamoer ATO One SE,Kamoer,Optical,FALSE,TRUE,TRUE,TRUE,1
Kamoer ATO One 2,Kamoer,Optical,TRUE,TRUE,TRUE,TRUE,1
IceCap ATO,IceCap,Optical,TRUE,TRUE,TRUE,TRUE,1
JBJ Automatic Top Off,JBJ,Float,TRUE,FALSE,TRUE,TRUE,1
Aquatop Titan ATO,Aquatop,Optical,TRUE,TRUE,TRUE,TRUE,1
Eshopps Nano ATO,Eshopps,Optical,FALSE,TRUE,TRUE,TRUE,1
Innovative Marine HydroFill ATO,Innovative Marine,Optical,TRUE,TRUE,TRUE,TRUE,2
Innovative Marine HydroFill Ti ATO,Innovative Marine,Optical,TRUE,TRUE,TRUE,TRUE,2
AutoAqua Smart ATO RO,AutoAqua,Optical,TRUE,TRUE,TRUE,TRUE,1
AutoAqua Smart ATO Marine,AutoAqua,Optical,TRUE,TRUE,TRUE,TRUE,1
XP Aqua Duetto 3,XP Aqua,Hybrid,TRUE,TRUE,TRUE,TRUE,1
XP Aqua Ultimate ATO,XP Aqua,Hybrid,TRUE,TRUE,TRUE,TRUE,1
Hydros X10 ATO Package,CoralVue,Optical,TRUE,TRUE,TRUE,TRUE,2
Hydros Advanced ATO Kit,CoralVue,Optical,TRUE,TRUE,TRUE,TRUE,2
Hydros Triple Optical ATO,CoralVue,Optical,TRUE,FALSE,TRUE,TRUE,2
Neptune ATK Deluxe,Neptune Systems,Optical,TRUE,TRUE,TRUE,TRUE,2
Neptune ATK PMUP Bundle,Neptune Systems,Optical,TRUE,TRUE,TRUE,TRUE,2
Reef Factory Smart ATO Micro,Reef Factory,Optical,FALSE,TRUE,TRUE,TRUE,2
Reef Factory Smart ATO Duo,Reef Factory,Optical,TRUE,TRUE,TRUE,TRUE,2
Kamoer X1 ATO,Kamoer,Optical,TRUE,TRUE,TRUE,TRUE,1
Kamoer X2 ATO,Kamoer,Optical,TRUE,TRUE,TRUE,TRUE,1
Aquatic Life Smart ATO,Aquatic Life,Optical,TRUE,TRUE,TRUE,TRUE,1
Aquatic Life Micro ATO,Aquatic Life,Optical,FALSE,TRUE,TRUE,TRUE,1
Aqua Gadget HydroFill Reservoir System,Innovative Marine,Optical,TRUE,TRUE,TRUE,TRUE,2
Focustronic Zensor ATO,Focustronic,Optical,TRUE,FALSE,TRUE,TRUE,2
Focustronic Mastertronic ATO,Focustronic,Optical,TRUE,TRUE,TRUE,TRUE,2
AquaReady Smart ATO,AquaReady,Optical,TRUE,TRUE,TRUE,TRUE,1
Pro Clear Smart ATO,Pro Clear Aquatic Systems,Optical,TRUE,TRUE,TRUE,TRUE,1
