Common Name,Scientific Name,Coral Type,Family,Difficulty,Lighting,Water Flow,Aggressiveness,Minimum Tank Size (gal),Placement,Growth Rate,Maximum Colony Size (in),Reef Safe,Photosynthetic
Green Star Polyps,Pachyclavularia violacea,Soft Coral,Briareidae,Easy,Moderate,Moderate,Moderate,10,Any,Fast,24,Yes,Yes
Pulsing Xenia,Xenia elongata,Soft Coral,Xeniidae,Easy,Moderate,Moderate,Low,10,Middle,Fast,24,Yes,Yes
Kenya Tree Coral,Capnella sp.,Soft Coral,Nephtheidae,Easy,Moderate,Moderate,Low,20,Middle,Fast,18,Yes,Yes
Toadstool Leather Coral,Sarcophyton sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Finger Leather Coral,Sinularia sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Colt Coral,Cladiella sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,18,Yes,Yes
Devils Hand Leather,Lobophytum sp.,Soft Coral,Alcyoniidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,24,Yes,Yes
Zoanthid Colony,Zoanthus sp.,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Low,10,Any,Fast,12,Yes,Yes
Button Polyps,Palythoa sp.,Soft Coral,Zoanthidae,Easy,Moderate,Moderate,Moderate,10,Any,Fast,12,Yes,Yes
Ricordea Mushroom,Ricordea florida,Corallimorph,Ricordeidae,Easy,Moderate,Low,Low,10,Lower,Moderate,8,Yes,Yes
Hairy Mushroom,Rhodactis sp.,Corallimorph,Discosomatidae,Easy,Low,Low,Low,10,Lower,Moderate,12,Yes,Yes
Red Mushroom,Discosoma sp.,Corallimorph,Discosomatidae,Easy,Low,Low,Low,10,Lower,Fast,12,Yes,Yes
Hammer Coral,Euphyllia ancora,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Torch Coral,Euphyllia glabrescens,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Frogspawn Coral,Euphyllia divisa,LPS,Euphylliidae,Moderate,Moderate,Moderate,High,30,Middle,Moderate,24,Yes,Yes
Candy Cane Coral,Caulastrea furcata,LPS,Merulinidae,Easy,Moderate,Low,Low,20,Middle,Moderate,12,Yes,Yes
Duncan Coral,Duncanopsammia axifuga,LPS,Dendrophylliidae,Easy,Moderate,Moderate,Low,20,Middle,Moderate,18,Yes,Yes
Blastomussa Coral,Blastomussa wellsi,LPS,Merulinidae,Moderate,Low,Low,Low,20,Lower,Slow,10,Yes,Yes
Acan Coral,Micromussa lordhowensis,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,20,Lower,Moderate,12,Yes,Yes
Favia Brain Coral,Favia sp.,LPS,Merulinidae,Moderate,Moderate,Moderate,Moderate,30,Middle,Slow,18,Yes,Yes
Lobophyllia Brain Coral,Lobophyllia hemprichii,LPS,Lobophylliidae,Moderate,Moderate,Low,Moderate,30,Lower,Slow,18,Yes,Yes
Open Brain Coral,Trachyphyllia geoffroyi,LPS,Merulinidae,Moderate,Low,Low,Moderate,30,Sand Bed,Slow,12,Yes,Yes
Scolymia Coral,Scolymia australis,LPS,Mussidae,Moderate,Low,Low,Low,20,Sand Bed,Slow,8,Yes,Yes
Elegance Coral,Catalaphyllia jardinei,LPS,Euphylliidae,Moderate,Moderate,Low,Moderate,50,Sand Bed,Moderate,24,Yes,Yes
Plate Coral,Fungia fungites,LPS,Fungiidae,Easy,Moderate,Low,Low,20,Sand Bed,Moderate,10,Yes,Yes
Fox Coral,Nemenzophyllia turbida,LPS,Euphylliidae,Moderate,Low,Low,Low,30,Lower,Slow,12,Yes,Yes
Chalice Coral,Echinophyllia aspera,LPS,Lobophylliidae,Moderate,Low,Low,Moderate,30,Lower,Moderate,18,Yes,Yes
Hollywood Stunner Chalice,Echinopora lamellosa,LPS,Merulinidae,Easy,Moderate,Moderate,High,30,Lower,Fast,24,Yes,Yes
Pagoda Cup Coral,Turbinaria reniformis,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Cup Coral,Turbinaria peltata,LPS,Dendrophylliidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Birdsnest Coral,Seriatopora hystrix,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Pink Birdsnest Coral,Seriatopora caliendrum,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Stylophora Coral,Stylophora pistillata,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Pocillopora Coral,Pocillopora damicornis,SPS,Pocilloporidae,Moderate,High,High,Low,30,Upper,Fast,18,Yes,Yes
Green Slimer Acropora,Acropora yongei,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,24,Yes,Yes
Staghorn Acropora,Acropora formosa,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,36,Yes,Yes
Montipora Digitata,Montipora digitata,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Fast,24,Yes,Yes
Montipora Capricornis,Montipora capricornis,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Fast,36,Yes,Yes
Encrusting Montipora,Montipora sp.,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Moderate,24,Yes,Yes
Hydnophora Coral,Hydnophora rigida,SPS,Merulinidae,Moderate,High,High,High,50,Upper,Fast,24,Yes,Yes
Blue Tip Acropora,Acropora tenuis,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,24,Yes,Yes
Millepora Acropora,Acropora millepora,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Fast,24,Yes,Yes
Bottlebrush Acropora,Acropora echinata,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,18,Yes,Yes
Table Acropora,Acropora hyacinthus,SPS,Acroporidae,Difficult,High,High,Low,75,Upper,Fast,36,Yes,Yes
Smooth Skin Acropora,Acropora lokani,SPS,Acroporidae,Difficult,High,High,Low,50,Upper,Moderate,24,Yes,Yes
Branching Cyphastrea,Cyphastrea japonica,SPS,Merulinidae,Easy,Moderate,Moderate,Low,20,Lower,Moderate,12,Yes,Yes
Meteor Shower Cyphastrea,Cyphastrea ocellina,SPS,Merulinidae,Easy,Moderate,Moderate,Low,20,Lower,Moderate,18,Yes,Yes
Leptastrea Coral,Leptastrea purpurea,SPS,Leptastreidae,Easy,Moderate,Moderate,Low,20,Lower,Slow,12,Yes,Yes
Leptoseris Coral,Leptoseris mycetoseroides,SPS,Agariciidae,Moderate,Low,Low,Low,20,Lower,Slow,18,Yes,Yes
Pavona Cactus Coral,Pavona cactus,Agariciidae,SPS,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Pavona Maldivensis,Pavona maldivensis,Agariciidae,SPS,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,24,Yes,Yes
Orange Setosa,Montipora setosa,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Purple Haze Montipora,Montipora danae,SPS,Acroporidae,Moderate,High,High,Low,30,Upper,Moderate,18,Yes,Yes
Sun Coral,Tubastraea coccinea,LPS,Dendrophylliidae,Difficult,Low,Moderate,Low,30,Lower,Moderate,12,Yes,No
Black Sun Coral,Tubastraea micranthus,LPS,Dendrophylliidae,Difficult,Low,Moderate,Low,30,Lower,Moderate,18,Yes,No
Dendrophyllia Coral,Dendrophyllia arbuscula,LPS,Dendrophylliidae,Difficult,Low,Moderate,Low,30,Lower,Moderate,18,Yes,No
Orange Ball Coral,Scleronephthya sp.,Soft Coral,Nephtheidae,Difficult,Low,Moderate,Low,30,Lower,Moderate,12,Yes,No
Carnation Coral,Dendronephthya sp.,Soft Coral,Nephtheidae,Difficult,Low,Moderate,Low,30,Lower,Moderate,24,Yes,No
Photosynthetic Gorgonian,Pterogorgia anceps,Gorgonian,Gorgoniidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,36,Yes,Yes
Purple Frilly Gorgonian,Pseudopterogorgia bipinnata,Gorgonian,Gorgoniidae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,36,Yes,Yes
Purple Ribbon Gorgonian,Eunicea flexuosa,Gorgonian,Plexauridae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,48,Yes,Yes
Sea Rod Gorgonian,Pseudoplexaura porosa,Gorgonian,Plexauridae,Moderate,Moderate,Moderate,Low,30,Middle,Moderate,48,Yes,Yes
Corky Sea Finger,Briareum asbestinum,Gorgonian,Briareidae,Easy,Moderate,Moderate,Low,20,Middle,Fast,36,Yes,Yes
Red Tree Gorgonian,Diodogorgia nodulifera,Gorgonian,Gorgoniidae,Difficult,Low,Moderate,Low,30,Middle,Moderate,36,Yes,No
Yellow Finger Gorgonian,Diodogorgia sp.,Gorgonian,Gorgoniidae,Difficult,Low,Moderate,Low,30,Middle,Moderate,36,Yes,No
Maxima Clam,Tridacna maxima,Clam,Cardiidae,Moderate,High,Moderate,Low,30,Sand Bed,Slow,14,Yes,Yes
Crocea Clam,Tridacna crocea,Clam,Cardiidae,Moderate,High,Moderate,Low,30,Rockwork,Slow,8,Yes,Yes
Derasa Clam,Tridacna derasa,Clam,Cardiidae,Easy,Moderate,Moderate,Low,55,Sand Bed,Moderate,24,Yes,Yes
Squamosa Clam,Tridacna squamosa,Clam,Cardiidae,Moderate,Moderate,Moderate,Low,75,Sand Bed,Moderate,18,Yes,Yes
Hippopus Clam,Hippopus hippopus,Clam,Cardiidae,Moderate,Moderate,Moderate,Low,75,Sand Bed,Slow,20,Yes,Yes
Bubble Tip Anemone,Entacmaea quadricolor,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,30,Rockwork,Moderate,12,Yes,Yes
Long Tentacle Anemone,Macrodactyla doreensis,Anemone,Actiniidae,Moderate,Moderate,Moderate,Low,50,Sand Bed,Moderate,20,Yes,Yes
Sebae Anemone,Heteractis crispa,Anemone,Stichodactylidae,Difficult,High,Moderate,Low,75,Sand Bed,Moderate,24,Yes,Yes
Magnificent Sea Anemone,Heteractis magnifica,Anemone,Stichodactylidae,Difficult,High,High,Low,100,Upper,Moderate,36,Yes,Yes
Carpet Anemone,Stichodactyla haddoni,Anemone,Stichodactylidae,Difficult,High,Moderate,Low,100,Sand Bed,Moderate,36,Yes,Yes
Mini Maxi Carpet Anemone,Stichodactyla tapetum,Anemone,Stichodactylidae,Moderate,Moderate,Moderate,Low,20,Rockwork,Slow,8,Yes,Yes
Rock Flower Anemone,Phymanthus crucifer,Anemone,Phymanthidae,Easy,Moderate,Low,Low,20,Sand Bed,Slow,6,Yes,Yes
