Common Name,Scientific Name,Family,Category,Reef Safe,Temperament,Care Level,Minimum Tank Size (gal),Maximum Size (in)
Emperor Angelfish,Pomacanthus imperator,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Moderate,220,15.0
Queen Angelfish,Holacanthus ciliaris,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Difficult,250,18.0
French Angelfish,Pomacanthus paru,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Moderate,250,16.0
Blueface Angelfish,Pomacanthus xanthometopon,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Moderate,220,15.0
Majestic Angelfish,Pomacanthus navarchus,Pomacanthidae,Large Angelfish,With Caution,Semi-Aggressive,Moderate,180,11.0
Regal Angelfish,Pygoplites diacanthus,Pomacanthidae,Large Angelfish,With Caution,Difficult,Difficult,180,10.0
Annularis Angelfish,Pomacanthus annularis,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Moderate,220,18.0
Koran Angelfish,Pomacanthus semicirculatus,Pomacanthidae,Large Angelfish,No,Semi-Aggressive,Moderate,220,15.0
Heniochus Bannerfish,Heniochus acuminatus,Chaetodontidae,Bannerfish,With Caution,Peaceful,Easy,125,10.0
Schooling Bannerfish,Heniochus diphreutes,Chaetodontidae,Bannerfish,Yes,Peaceful,Moderate,125,7.0
Orbiculate Batfish,Platax orbicularis,Ephippidae,Batfish,No,Peaceful,Moderate,300,20.0
Longfin Batfish,Platax teira,Ephippidae,Batfish,No,Peaceful,Moderate,300,24.0
Yellow Boxfish,Ostracion cubicus,Ostraciidae,Boxfish,With Caution,Peaceful,Moderate,125,18.0
Whitespotted Boxfish,Ostracion meleagris,Ostraciidae,Boxfish,With Caution,Peaceful,Moderate,125,10.0
Longhorn Cowfish,Lactoria cornuta,Ostraciidae,Cowfish,With Caution,Peaceful,Moderate,180,20.0
Thornback Cowfish,Lactoria fornasini,Ostraciidae,Cowfish,With Caution,Peaceful,Moderate,125,9.0
Wartskin Anglerfish,Antennarius maculatus,Antennariidae,Frogfish,No,Predatory,Moderate,30,4.0
Painted Anglerfish,Antennarius pictus,Antennariidae,Frogfish,No,Predatory,Moderate,30,4.0
Commerson's Frogfish,Antennarius commerson,Pomacanthidae,Frogfish,No,Predatory,Moderate,70,15.0
Sargassum Anglerfish,Histrio histrio,Antennariidae,Frogfish,No,Predatory,Moderate,30,8.0
Bellus Angelfish,Genicanthus bellus,Pomacanthidae,Angelfish,Yes,Peaceful,Moderate,125,7.0
Lamarck's Angelfish,Genicanthus lamarck,Pomacanthidae,Angelfish,Yes,Peaceful,Moderate,125,9.0
Watanabei Angelfish,Genicanthus watanabei,Pomacanthidae,Angelfish,Yes,Peaceful,Moderate,125,6.0
Swallowtail Angelfish,Genicanthus melanospilos,Pomacanthidae,Angelfish,Yes,Peaceful,Moderate,125,7.0
Pearlscale Butterflyfish,Chaetodon xanthurus,Chaetodontidae,Butterflyfish,With Caution,Peaceful,Moderate,125,5.5
Double Saddle Butterflyfish,Chaetodon ulietensis,Chaetodontidae,Butterflyfish,No,Peaceful,Moderate,125,7.0
Saddleback Butterflyfish,Chaetodon ephippium,Chaetodontidae,Butterflyfish,No,Peaceful,Moderate,125,12.0
Black Axil Chromis,Chromis atripectoralis,Pomacentridae,Chromis,Yes,Peaceful,Easy,30,5.0
Blue Green Reef Chromis,Chromis viridis,Pomacentridae,Chromis,Yes,Peaceful,Easy,30,4.0
Orange Lined Cardinalfish,Ostorhinchus cyanosoma,Apogonidae,Cardinalfish,Yes,Peaceful,Easy,30,5.0
Red Spot Cardinalfish,Apogon parvulus,Apogonidae,Cardinalfish,Yes,Peaceful,Moderate,20,2.5
Cave Basslet,Liopropoma rubre,Serranidae,Basslet,Yes,Peaceful,Moderate,30,4.0
Black Cap Jawfish,Opistognathus randalli,Opistognathidae,Jawfish,Yes,Peaceful,Moderate,30,4.0
Greenbanded Goby,Tigrigobius multifasciatus,Gobiidae,Goby,Yes,Peaceful,Easy,10,2.0
Panda Goby,Paragobiodon lacunicolus,Gobiidae,Goby,Yes,Peaceful,Moderate,10,2.0
Bella Goby,Valenciennea bella,Gobiidae,Goby,Yes,Peaceful,Moderate,30,6.0
Tiger Watchman Goby,Valenciennea wardii,Gobiidae,Goby,Yes,Peaceful,Moderate,30,6.0
Pink Spotted Watchman Goby,Cryptocentrus leptocephalus,Gobiidae,Goby,Yes,Peaceful,Moderate,30,5.0
Lubbock's Fairy Wrasse,Cirrhilabrus lubbocki,Labridae,Fairy Wrasse,Yes,Peaceful,Easy,55,3.5
Ruby Head Fairy Wrasse,Cirrhilabrus cf. cyanopleura,Labridae,Fairy Wrasse,Yes,Peaceful,Easy,90,5.0
Scott's Fairy Wrasse,Cirrhilabrus scottorum,Labridae,Fairy Wrasse,Yes,Semi-Aggressive,Moderate,90,5.5
Golden Rhomboidalis Wrasse,Cirrhilabrus rhomboidalis,Labridae,Fairy Wrasse,Yes,Peaceful,Easy,90,4.5
Lineatus Fairy Wrasse,Cirrhilabrus lineatus,Labridae,Fairy Wrasse,Yes,Peaceful,Moderate,125,5.0
Red Margin Fairy Wrasse,Cirrhilabrus rubrimarginatus,Labridae,Fairy Wrasse,Yes,Peaceful,Moderate,125,6.0
Black Leopard Wrasse,Macropharyngodon negrosensis,Labridae,Leopard Wrasse,Yes,Peaceful,Difficult,50,5.0
Blue Star Leopard Wrasse,Macropharyngodon bipartitus,Labridae,Leopard Wrasse,Yes,Peaceful,Difficult,50,5.0
Ornate Leopard Wrasse,Macropharyngodon ornatus,Labridae,Leopard Wrasse,Yes,Peaceful,Difficult,70,6.0
Potter's Leopard Wrasse,Macropharyngodon geoffroy,Labridae,Leopard Wrasse,Yes,Peaceful,Difficult,70,5.0
Cleaner Wrasse,Labroides dimidiatus,Labridae,Cleaner Wrasse,Yes,Peaceful,Difficult,55,5.0
Neon Cleaner Goby,Elacatinus oceanops,Gobiidae,Goby,Yes,Peaceful,Easy,10,2.0
Yasha White Ray Shrimp Goby,Stonogobiops yasha,Gobiidae,Goby,Yes,Peaceful,Moderate,10,2.0
Wheeler's Shrimp Goby,Amblyeleotris wheeleri,Gobiidae,Goby,Yes,Peaceful,Moderate,30,5.0
Dracula Goby,Stonogobiops dracula,Gobiidae,Goby,Yes,Peaceful,Moderate,10,2.5
Two Spot Goby,Signigobius biocellatus,Gobiidae,Goby,Yes,Peaceful,Moderate,30,3.0
Harptail Blenny,Plagiotremus tapeinosoma,Blenniidae,Blenny,With Caution,Semi-Aggressive,Moderate,30,5.0
Red Sea Mimic Blenny,Ecsenius gravieri,Blenniidae,Blenny,Yes,Peaceful,Easy,30,4.0
Smith's Fang Blenny,Meiacanthus smithi,Blenniidae,Fang Blenny,Yes,Peaceful,Easy,30,4.0
Linear Fang Blenny,Meiacanthus lineatus,Blenniidae,Fang Blenny,Yes,Peaceful,Easy,30,4.0
Blue Spot Jawfish,Opistognathus rosenblatti,Opistognathidae,Jawfish,Yes,Peaceful,Difficult,30,4.0
Yellowhead Jawfish,Opistognathus aurifrons,Opistognathidae,Jawfish,Yes,Peaceful,Moderate,30,4.0
Pearly Jawfish,Opistognathus pearlyi,Opistognathidae,Jawfish,Yes,Peaceful,Moderate,30,4.0
Scissortail Dartfish,Ptereleotris evides,Ptereleotridae,Dartfish,Yes,Peaceful,Easy,20,5.0
Zebra Dartfish,Ptereleotris zebra,Ptereleotridae,Dartfish,Yes,Peaceful,Easy,30,5.0
Blue Gudgeon Dartfish,Ptereleotris heteroptera,Ptereleotridae,Dartfish,Yes,Peaceful,Moderate,30,6.0
Yellow Assessor,Assessor flavissimus,Plesiopidae,Assessor,Yes,Peaceful,Easy,30,3.0
Blue Assessor,Assessor macneilli,Plesiopidae,Assessor,Yes,Peaceful,Easy,30,3.0
Janss' Pipefish,Doryrhamphus janssi,Syngnathidae,Pipefish,Yes,Peaceful,Difficult,30,6.0
Banded Pipefish,Dunckerocampus dactyliophorus,Syngnathidae,Pipefish,Yes,Peaceful,Difficult,30,7.0
Pink Streak Wrasse,Pseudocheilinops ataenia,Labridae,Wrasse,Yes,Peaceful,Easy,20,2.5
Possum Wrasse,Wetmorella nigropinnata,Labridae,Wrasse,Yes,Peaceful,Moderate,20,3.0
Green Wrasse,Halichoeres chloropterus,Labridae,Wrasse,Yes,Peaceful,Moderate,75,8.0
Richmond's Wrasse,Halichoeres richmondi,Labridae,Wrasse,Yes,Peaceful,Moderate,70,7.5
Blunthead Wrasse,Thalassoma amblycephalum,Labridae,Wrasse,With Caution,Semi-Aggressive,Moderate,75,6.0
Bicolor Blenny,Ecsenius bicolor,Blenniidae,Blenny,Yes,Peaceful,Easy,30,4.0
Midas Blenny,Ecsenius midas,Blenniidae,Blenny,Yes,Peaceful,Easy,30,6.0
Starry Blenny,Salarias ramosus,Blenniidae,Blenny,Yes,Peaceful,Easy,30,5.5
Forktail Blenny,Meiacanthus atrodorsalis,Blenniidae,Blenny,Yes,Peaceful,Easy,30,5.0
Canary Fang Blenny,Meiacanthus oualanensis,Blenniidae,Fang Blenny,Yes,Peaceful,Easy,30,5.0
Niger Triggerfish,Odonus niger,Balistidae,Triggerfish,With Caution,Semi-Aggressive,Moderate,180,20.0
Bluejaw Triggerfish,Xanthichthys auromarginatus,Balistidae,Triggerfish,With Caution,Peaceful,Moderate,180,12.0
Crosshatch Triggerfish,Xanthichthys mento,Balistidae,Triggerfish,With Caution,Peaceful,Difficult,250,12.0
Pinktail Triggerfish,Melichthys vidua,Balistidae,Triggerfish,With Caution,Semi-Aggressive,Moderate,180,15.0
Bursa Triggerfish,Sufflamen bursa,Balistidae,Triggerfish,No,Semi-Aggressive,Moderate,180,16.0
Dogface Puffer,Arothron nigropunctatus,Tetraodontidae,Pufferfish,No,Peaceful,Moderate,180,13.0
Porcupine Puffer,Diodon holocanthus,Diodontidae,Pufferfish,No,Peaceful,Easy,180,20.0
Valentini Puffer,Canthigaster valentini,Tetraodontidae,Toby Puffer,With Caution,Peaceful,Easy,30,4.0
Blue Spotted Toby,Canthigaster solandri,Tetraodontidae,Toby Puffer,With Caution,Semi-Aggressive,Easy,30,5.0
Saddle Valentini Puffer,Canthigaster epilampra,Tetraodontidae,Toby Puffer,With Caution,Peaceful,Moderate,30,4.0
Volitan Lionfish,Pterois volitans,Scorpaenidae,Lionfish,No,Predatory,Moderate,120,15.0
Antennata Lionfish,Pterois antennata,Scorpaenidae,Lionfish,No,Predatory,Moderate,70,8.0
Fu Manchu Lionfish,Dendrochirus biocellatus,Scorpaenidae,Dwarf Lionfish,No,Predatory,Moderate,30,4.0
Fuzzy Dwarf Lionfish,Dendrochirus brachypterus,Scorpaenidae,Dwarf Lionfish,No,Predatory,Easy,50,7.0
Spanish Hogfish,Bodianus rufus,Labridae,Hogfish,With Caution,Semi-Aggressive,Moderate,125,10.0
Yellow Candy Hogfish,Bodianus bimaculatus,Labridae,Hogfish,With Caution,Semi-Aggressive,Moderate,70,8.0
Purple Tilefish,Hoplolatilus purpureus,Malacanthidae,Tilefish,Yes,Peaceful,Moderate,125,8.0
Blue Tilefish,Hoplolatilus starcki,Malacanthidae,Tilefish,Yes,Peaceful,Moderate,125,5.0
Snowflake Moray,Echidna nebulosa,Muraenidae,Moray Eel,With Caution,Semi-Aggressive,Easy,75,24.0
Zebra Moray,Gymnomuraena zebra,Muraenidae,Moray Eel,With Caution,Peaceful,Moderate,180,60.0
Squareback Anthias,Pseudanthias pleurotaenia,Serranidae,Anthias,Yes,Semi-Aggressive,Moderate,100,7.75
Red Saddled Anthias,Pseudanthias flavoguttatus,Serranidae,Anthias,Yes,Peaceful,Difficult,70,4.25
Sunburst Anthias,Serranocirrhitus latus,Serranidae,Anthias,Yes,Peaceful,Moderate,70,5.0
Carberry's Anthias,Nemanthias carberryi,Serranidae,Anthias,Yes,Peaceful,Moderate,70,4.0
Dispar Anthias,Pseudanthias dispar,Serranidae,Anthias,Yes,Peaceful,Moderate,70,3.5
Bartlett's Anthias,Pseudanthias bartlettorum,Serranidae,Anthias,Yes,Peaceful,Moderate,70,3.5
Tomini Tang,Ctenochaetus tominiensis,Acanthuridae,Tang,Yes,Peaceful,Moderate,70,6.0
Convict Tang,Acanthurus triostegus,Acanthuridae,Tang,Yes,Peaceful,Moderate,180,11.0
Lieutenant Tang,Acanthurus tennentii,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,180,12.0
Orange Shoulder Tang,Acanthurus olivaceus,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,180,14.0
Mimic Lemonpeel Tang,Acanthurus pyroferus,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,125,10.0
Scopas Tang,Zebrasoma scopas,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,75,8.0
Desjardini Sailfin Tang,Zebrasoma desjardinii,Acanthuridae,Tang,Yes,Semi-Aggressive,Moderate,180,16.0
Magnificent Foxface,Siganus magnificus,Siganidae,Rabbitfish,With Caution,Peaceful,Moderate,125,9.0
Foxface Rabbitfish,Siganus vulpinus,Siganidae,Rabbitfish,With Caution,Peaceful,Moderate,125,9.0
Blue Devil Damselfish,Chrysiptera cyanea,Pomacentridae,Damselfish,Yes,Aggressive,Easy,30,3.0
