Common Name,Scientific Name,Category,Family,Difficulty,Temperament,Reef Safe,Minimum Tank Size (gal),Maximum Size (in),Diet,Activity Level,Special Requirements
Fire Shrimp,Lysmata debelius,Shrimp,Hippolytidae,Easy,Peaceful,Yes,20,3.0,Omnivore,Moderate,Caves
Peppermint Shrimp,Lysmata wurdemanni,Shrimp,Hippolytidae,Easy,Peaceful,Yes,10,2.0,Omnivore,Moderate,Aiptasia Control
Harlequin Shrimp,Hymenocera picta,Shrimp,Gnathophyllidae,Difficult,Peaceful,Yes,20,2.0,Sea Stars,Low,Requires Starfish Diet
Coral Banded Shrimp,Stenopus hispidus,Shrimp,Stenopodidae,Easy,Semi-Aggressive,With Caution,30,4.0,Carnivore,Moderate,May Harass Shrimp
Sexy Shrimp,Thor amboinensis,Shrimp,Hippolytidae,Easy,Peaceful,Yes,10,1.0,Omnivore,Moderate,Host Anemones
Electric Blue Hermit Crab,Calcinus elegans,Hermit Crab,Diogenidae,Easy,Peaceful,With Caution,20,3.0,Omnivore,Moderate,Extra Shells
Halloween Hermit Crab,Ciliopagurus strigatus,Hermit Crab,Diogenidae,Moderate,Peaceful,With Caution,30,3.0,Omnivore,Moderate,Large Shells
Turbo Snail,Turbo fluctuosa,Snail,Turbinidae,Easy,Peaceful,Yes,10,2.0,Herbivore,Moderate,Algae Grazer
Trochus Snail,Trochus niloticus,Snail,Trochidae,Easy,Peaceful,Yes,10,2.0,Herbivore,Moderate,Algae Grazer
Cerith Snail,Cerithium litteratum,Snail,Cerithiidae,Easy,Peaceful,Yes,10,1.5,Detritivore,Moderate,Sand Cleaner
Nassarius Snail,Nassarius vibex,Snail,Nassariidae,Easy,Peaceful,Yes,10,1.0,Carnivore,Moderate,Sand Scavenger
Fighting Conch,Strombus alatus,Snail,Strombidae,Easy,Peaceful,Yes,30,4.0,Detritivore,Moderate,Sand Bed
Tuxedo Urchin,Mespilia globulus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,30,3.0,Herbivore,Moderate,Stable Rockwork
Pincushion Urchin,Lytechinus variegatus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,Stable Rockwork
Brittle Star,Ophiocoma pumila,Brittle Star,Ophiocomidae,Easy,Peaceful,Yes,20,8.0,Omnivore,Nocturnal,Hiding Places
Serpent Star,Ophioderma appressum,Serpent Star,Ophiodermatidae,Easy,Peaceful,Yes,30,12.0,Omnivore,Nocturnal,Hiding Places
Tiger Tail Sea Cucumber,Holothuria thomasi,Sea Cucumber,Holothuriidae,Moderate,Peaceful,Yes,50,18.0,Detritivore,Low,Mature Sand Bed
Skunk Cleaner Shrimp,Lysmata grabhami,Shrimp,Hippolytidae,Easy,Peaceful,Yes,20,2.5,Omnivore,Moderate,Cleaning Stations
Blood Red Fire Shrimp,Lysmata debelius,Shrimp,Hippolytidae,Easy,Peaceful,Yes,20,3.0,Omnivore,Moderate,Caves
Camel Shrimp,Rhynchocinetes durbanensis,Shrimp,Rhynchocinetidae,Easy,Peaceful,With Caution,20,2.0,Omnivore,Moderate,May Pick Corals
Anemone Shrimp,Periclimenes brevicarpalis,Shrimp,Palaemonidae,Moderate,Peaceful,Yes,20,2.0,Omnivore,Moderate,Host Anemones
Pederson Cleaner Shrimp,Ancylomenes pedersoni,Shrimp,Palaemonidae,Easy,Peaceful,Yes,10,1.5,Omnivore,Moderate,Cleaning Stations
Bumblebee Shrimp,Gnathophyllum americanum,Shrimp,Gnathophyllidae,Moderate,Peaceful,Yes,10,1.0,Omnivore,Low,Reef Aquarium
Arrow Crab,Stenorhynchus seticornis,Crab,Inachidae,Moderate,Semi-Aggressive,With Caution,30,6.0,Carnivore,Moderate,May Eat Small Inverts
Emerald Crab,Mithraculus sculptus,Crab,Majidae,Easy,Peaceful,Yes,20,2.5,Omnivore,Moderate,Bubble Algae Control
Sally Lightfoot Crab,Percnon gibbesi,Crab,Percnidae,Moderate,Semi-Aggressive,With Caution,30,5.0,Omnivore,High,May Become Territorial
Porcelain Anemone Crab,Neopetrolisthes ohshimai,Crab,Porcellanidae,Easy,Peaceful,Yes,20,2.0,Filter Feeder,Low,Host Anemones
Electric Orange Hermit Crab,Calcinus sp.,Hermit Crab,Diogenidae,Easy,Peaceful,With Caution,20,2.0,Omnivore,Moderate,Extra Shells
Zebra Hermit Crab,Calcinus laevimanus,Hermit Crab,Diogenidae,Easy,Peaceful,With Caution,20,2.5,Omnivore,Moderate,Extra Shells
Astrea Snail,Astraea tecta,Snail,Turbinidae,Easy,Peaceful,Yes,10,1.5,Herbivore,Moderate,Algae Grazer
Margarita Snail,Margarites pupillus,Snail,Margaritidae,Easy,Peaceful,Yes,10,1.0,Herbivore,Moderate,Cooler Water Preferred
Banded Trochus Snail,Trochus radiatus,Snail,Trochidae,Easy,Peaceful,Yes,10,2.0,Herbivore,Moderate,Algae Grazer
Nerite Snail,Nerita versicolor,Snail,Neritidae,Easy,Peaceful,Yes,10,1.0,Herbivore,Moderate,Algae Grazer
Queen Conch,Aliger gigas,Snail,Strombidae,Moderate,Peaceful,Yes,75,12.0,Detritivore,Moderate,Large Sand Bed
Money Cowrie,Cypraea moneta,Snail,Cypraeidae,Moderate,Peaceful,With Caution,20,2.0,Omnivore,Nocturnal,May Graze Soft Corals
Tiger Pistol Shrimp,Alpheus bellulus,Shrimp,Alpheidae,Easy,Peaceful,Yes,20,3.0,Carnivore,Low,Goby Symbiosis
Randall's Pistol Shrimp,Alpheus randalli,Shrimp,Alpheidae,Easy,Peaceful,Yes,10,2.0,Carnivore,Low,Goby Symbiosis
Candy Cane Pistol Shrimp,Alpheus armatus,Shrimp,Alpheidae,Moderate,Peaceful,Yes,20,2.0,Carnivore,Low,Goby Symbiosis
Harlequin Boxer Shrimp,Stenopus tenuirostris,Shrimp,Stenopodidae,Moderate,Peaceful,Yes,20,2.0,Carnivore,Low,Caves
Yellowline Cleaner Shrimp,Lysmata vittata,Shrimp,Hippolytidae,Easy,Peaceful,Yes,20,2.5,Omnivore,Moderate,Cleaning Stations
White Spot Anemone Shrimp,Periclimenes brevicarpalis,Shrimp,Palaemonidae,Moderate,Peaceful,Yes,20,2.0,Omnivore,Low,Host Anemones
Decorator Crab,Camposcia retusa,Crab,Majidae,Moderate,Peaceful,With Caution,30,4.0,Omnivore,Moderate,May Carry Corals
Red Emerald Crab,Mithraculus ruber,Crab,Majidae,Easy,Peaceful,Yes,20,2.5,Omnivore,Moderate,Algae Control
Ruby Mithrax Crab,Mithraculus forceps,Crab,Majidae,Easy,Peaceful,Yes,20,2.5,Omnivore,Moderate,Algae Control
Halloween Urchin,Tripneustes gratilla,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,Stable Rockwork
Collector Urchin,Tripneustes gratilla,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,Carries Shells
Long Spine Urchin,Diadema setosum,Sea Urchin,Diadematidae,Moderate,Peaceful,Yes,75,12.0,Herbivore,Moderate,Large Rockwork
Short Spine Urchin,Echinometra mathaei,Sea Urchin,Echinometridae,Moderate,Peaceful,Yes,30,4.0,Herbivore,Moderate,Stable Rockwork
Tiger Cowrie,Cypraea tigris,Snail,Cypraeidae,Moderate,Peaceful,With Caution,30,6.0,Omnivore,Nocturnal,May Graze Corals
Fighting Tiger Conch,Lobatus pugilis,Snail,Strombidae,Easy,Peaceful,Yes,30,4.0,Detritivore,Moderate,Sand Bed
Florida Cerith Snail,Cerithium atratum,Snail,Cerithiidae,Easy,Peaceful,Yes,10,1.5,Detritivore,Moderate,Sand Cleaner
Black Foot Trochus,Trochus histrio,Snail,Trochidae,Easy,Peaceful,Yes,10,2.0,Herbivore,Moderate,Algae Grazer
Sand Sifting Sea Star,Astropecten polyacanthus,Sea Star,Astropectinidae,Moderate,Peaceful,Yes,75,10.0,Carnivore,Low,Mature Sand Bed
Chocolate Chip Sea Star,Protoreaster nodosus,Sea Star,Oreasteridae,Easy,Peaceful,With Caution,75,12.0,Omnivore,Low,Not Reef Safe With Corals
Red Serpent Star,Ophioderma squamosissimus,Serpent Star,Ophiodermatidae,Easy,Peaceful,Yes,30,12.0,Omnivore,Nocturnal,Hiding Places
Orange Linckia Sea Star,Linckia multifora,Sea Star,Ophidiasteridae,Moderate,Peaceful,Yes,75,8.0,Detritivore,Low,Mature Reef Aquarium
Blue Linckia Sea Star,Linckia laevigata,Sea Star,Ophidiasteridae,Difficult,Peaceful,Yes,100,12.0,Detritivore,Low,Established Reef System
Red Fromia Sea Star,Fromia milleporella,Sea Star,Goniasteridae,Moderate,Peaceful,Yes,75,5.0,Detritivore,Low,Mature Live Rock
Marble Sea Star,Fromia monilis,Sea Star,Goniasteridae,Moderate,Peaceful,Yes,75,6.0,Detritivore,Low,Mature Live Rock
Banded Serpent Star,Ophiolepis superba,Serpent Star,Ophiolepididae,Easy,Peaceful,Yes,30,10.0,Omnivore,Nocturnal,Hiding Places
Green Brittle Star,Ophiarachna incrassata,Brittle Star,Ophiodermatidae,Moderate,Aggressive,With Caution,75,20.0,Carnivore,Nocturnal,May Prey On Fish
Tiger Tail Cucumber,Holothuria hilla,Sea Cucumber,Holothuriidae,Moderate,Peaceful,Yes,50,12.0,Detritivore,Low,Mature Sand Bed
Pink Sea Cucumber,Holothuria edulis,Sea Cucumber,Holothuriidae,Moderate,Peaceful,Yes,75,16.0,Detritivore,Low,Mature Sand Bed
Yellow Sea Cucumber,Colochirus robustus,Sea Cucumber,Cucumariidae,Difficult,Peaceful,Yes,50,8.0,Filter Feeder,Low,Supplemental Feeding
Orange Sea Apple,Pseudocolochirus violaceus,Sea Cucumber,Cucumariidae,Difficult,Peaceful,With Caution,75,8.0,Filter Feeder,Low,Toxin Risk
Hawaiian Feather Duster,Sabellastarte sanctijosephi,Feather Duster,Sabellidae,Easy,Peaceful,Yes,20,7.0,Filter Feeder,Low,Plankton Feeding
Coco Worm,Protula bispiralis,Feather Duster,Serpulidae,Moderate,Peaceful,Yes,30,6.0,Filter Feeder,Low,Stable Calcium
Christmas Tree Worm,Spirobranchus giganteus,Feather Duster,Serpulidae,Difficult,Peaceful,Yes,50,4.0,Filter Feeder,Low,Requires Host Coral
Medusa Worm,Protula magnifica,Feather Duster,Serpulidae,Moderate,Peaceful,Yes,30,8.0,Filter Feeder,Low,Plankton Feeding
Tiger Sea Hare,Aplysia dactylomela,Sea Hare,Aplysiidae,Moderate,Peaceful,Yes,50,12.0,Herbivore,Moderate,Heavy Algae Growth
Dolabella Sea Hare,Dolabella auricularia,Sea Hare,Aplysiidae,Easy,Peaceful,Yes,50,8.0,Herbivore,Moderate,Hair Algae Control
Blue Tuxedo Urchin,Mespilia globulus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,30,3.0,Herbivore,Moderate,Stable Rockwork
Rock Boring Urchin,Echinometra lucunter,Sea Urchin,Echinometridae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,May Bore Into Rock
White Spotted Urchin,Tripneustes ventricosus,Sea Urchin,Toxopneustidae,Moderate,Peaceful,Yes,50,5.0,Herbivore,Moderate,Algae Grazer
Black Brittle Star,Ophiocoma echinata,Brittle Star,Ophiocomidae,Easy,Peaceful,Yes,30,12.0,Omnivore,Nocturnal,Hiding Places
Spiny Lobster,Panulirus argus,Lobster,Palinuridae,Moderate,Peaceful,With Caution,125,24.0,Carnivore,Nocturnal,Large Aquarium
Debelius Reef Lobster,Enoplometopus debelius,Lobster,Enoplometopidae,Moderate,Semi-Aggressive,With Caution,50,5.0,Carnivore,Nocturnal,Caves
Purple Reef Lobster,Enoplometopus daumi,Lobster,Enoplometopidae,Moderate,Semi-Aggressive,With Caution,50,6.0,Carnivore,Nocturnal,Caves
Blue Reef Lobster,Enoplometopus occidentalis,Lobster,Enoplometopidae,Moderate,Semi-Aggressive,With Caution,50,6.0,Carnivore,Nocturnal,Caves
Purple Urchin Crab,Echinoecus pentagonus,Crab,Pilumnidae,Moderate,Peaceful,Yes,30,1.5,Omnivore,Low,Host Urchin
Anemone Porcelain Crab,Neopetrolisthes maculatus,Crab,Porcellanidae,Easy,Peaceful,Yes,20,2.0,Filter Feeder,Low,Host Anemones
Red Porcelain Crab,Petrolisthes sp.,Crab,Porcellanidae,Easy,Peaceful,Yes,20,2.0,Filter Feeder,Low,Plankton Feeding
Pom Pom Crab,Lybia edmondsoni,Crab,Xanthidae,Easy,Peaceful,Yes,10,1.5,Omnivore,Low,Anemone Symbiosis
Sea Cucumber,Actinopyga echinites,Sea Cucumber,Holothuriidae,Moderate,Peaceful,Yes,75,12.0,Detritivore,Low,Mature Sand Bed
Pink and Black Cucumber,Holothuria atra,Sea Cucumber,Holothuriidae,Moderate,Peaceful,Yes,75,14.0,Detritivore,Low,Mature Sand Bed
Filter Feeding Cucumber,Colochirus quadrangularis,Sea Cucumber,Cucumariidae,Difficult,Peaceful,Yes,75,8.0,Filter Feeder,Low,Target Feeding
Red Feather Star,Tropiometra carinata,Crinoid,Tropiometridae,Difficult,Peaceful,Yes,100,12.0,Filter Feeder,Low,Frequent Plankton Feeding
Black Feather Star,Oxycomanthus bennetti,Crinoid,Comasteridae,Difficult,Peaceful,Yes,100,10.0,Filter Feeder,Low,Frequent Plankton Feeding
Flame Scallop,Ctenoides scaber,Scallop,Limidae,Difficult,Peaceful,Yes,30,3.0,Filter Feeder,Low,Heavy Plankton Feeding
Electric Flame Scallop,Ctenoides ales,Scallop,Limidae,Difficult,Peaceful,Yes,30,3.0,Filter Feeder,Low,Heavy Plankton Feeding
Tiger Scallop,Pecten tigerinus,Scallop,Pectinidae,Moderate,Peaceful,Yes,30,4.0,Filter Feeder,Low,Stable Water Quality
Lettuce Sea Slug,Elysia crispata,Sea Slug,Plakobranchidae,Moderate,Peaceful,Yes,20,2.0,Herbivore,Moderate,Algae Availability
Blue Velvet Sea Slug,Chelidonura varians,Sea Slug,Aglajidae,Difficult,Peaceful,Yes,20,3.0,Carnivore,Moderate,Flatworm Diet
Spanish Dancer Nudibranch,Hexabranchus sanguineus,Nudibranch,Hexabranchidae,Difficult,Peaceful,Yes,75,16.0,Carnivore,Low,Specialized Diet
Berghia Nudibranch,Berghia stephanieae,Nudibranch,Aeolidiidae,Difficult,Peaceful,Yes,10,1.0,Carnivore,Low,Aiptasia-Only Diet
Sea Bunny Nudibranch,Jorunna parva,Nudibranch,Discodorididae,Difficult,Peaceful,Yes,20,1.0,Carnivore,Low,Specialized Sponge Diet
Purple Nudibranch,Hypselodoris bullockii,Nudibranch,Chromodorididae,Difficult,Peaceful,Yes,30,2.0,Carnivore,Low,Specialized Sponge Diet
