Product Name,Manufacturer,Power Consumption (W),Coverage Length (in),Coverage Width (in),Control Method,Mount Included,Suitable Coral Types,Warranty (Years)
Radion XR15 G6 Blue,Ecotech Marine,105,24,24,App,FALSE,Mixed Reef,1
Radion XR15 G6 Pro,Ecotech Marine,105,24,24,App,FALSE,Mixed Reef,1
Radion XR30 G6 Blue,Ecotech Marine,215,36,36,App,FALSE,Mixed Reef,1
Radion XR30 G6 Pro,Ecotech Marine,215,36,36,App,FALSE,Mixed Reef,1
Radion XR15 G5 Blue,Ecotech Marine,95,24,24,App,FALSE,Mixed Reef,1
Radion XR15 G5 Pro,Ecotech Marine,95,24,24,App,FALSE,Mixed Reef,1
Radion XR30 G5 Blue,Ecotech Marine,205,36,36,App,FALSE,Mixed Reef,1
Radion XR30 G5 Pro,Ecotech Marine,205,36,36,App,FALSE,Mixed Reef,1
AI Prime 16HD,Aqua Illumination,59,24,24,App,FALSE,Soft,1
AI Prime Fuge,Aqua Illumination,46,24,24,App,FALSE,Refugium,1
AI Hydra 32HD,Aqua Illumination,90,24,24,App,FALSE,Mixed Reef,1
AI Hydra 64HD,Aqua Illumination,135,36,36,App,FALSE,Mixed Reef,1
AI Blade Grow 21,Aqua Illumination,20,21,24,App,FALSE,Mixed Reef,1
AI Blade Grow 39,Aqua Illumination,40,39,24,App,FALSE,Mixed Reef,1
AI Blade Grow 57,Aqua Illumination,60,57,24,App,FALSE,Mixed Reef,1
AI Blade Grow 66,Aqua Illumination,80,66,24,App,FALSE,Mixed Reef,1
AI Blade Glow 21,Aqua Illumination,20,21,24,App,FALSE,Mixed Reef,1
AI Blade Glow 39,Aqua Illumination,40,39,24,App,FALSE,Mixed Reef,1
AI Blade Glow 57,Aqua Illumination,60,57,24,App,FALSE,Mixed Reef,1
AI Blade Glow 66,Aqua Illumination,80,66,24,App,FALSE,Mixed Reef,1
Kessil A80 Tuna Blue,Kessil,15,14,14,Manual,FALSE,Soft,1
Kessil A160WE Tuna Blue,Kessil,40,24,24,Manual,FALSE,Mixed Reef,1
Kessil A360X Tuna Blue,Kessil,90,24,24,App,FALSE,Mixed Reef,1
Kessil AP9X,Kessil,185,48,24,App,FALSE,SPS,1
Kessil AP700,Kessil,185,48,24,App,FALSE,SPS,1
Noopsyche K7 Pro III,Noopsyche,95,24,24,App,FALSE,Mixed Reef,1
Noopsyche K7 Mini,Noopsyche,60,18,18,App,FALSE,LPS,1
Reefi Uno 2.0 Pro,Reefi Lab,135,30,30,App,FALSE,SPS,2
Reefi Uno 2.1 Pro,Reefi Lab,140,30,30,App,FALSE,SPS,2
ReefLED 50,Red Sea,50,20,20,App,FALSE,LPS,1
ReefLED 90,Red Sea,90,24,24,App,FALSE,Mixed Reef,1
ReefLED 160S,Red Sea,160,36,36,App,FALSE,SPS,1
ReefLED G2 60,Red Sea,60,24,24,App,FALSE,Mixed Reef,1
ReefLED G2 115,Red Sea,115,30,30,App,FALSE,SPS,1
ReefLED G2 170,Red Sea,170,36,36,App,FALSE,SPS,1
Photon 24 V2 Pro,Reef Breeders,110,24,24,App,FALSE,Mixed Reef,2
Photon 32 V2 Pro,Reef Breeders,140,32,24,App,FALSE,SPS,2
Photon 50 V2 Pro,Reef Breeders,220,48,24,App,FALSE,SPS,2
Lumina 26,GHL,145,24,24,App,FALSE,SPS,2
Lumina 52,GHL,290,48,24,App,FALSE,SPS,2
Orphek OR3 Blue Plus 24,Orphek,24,24,24,Manual,FALSE,SPS,2
Orphek OR3 Blue Plus 36,Orphek,36,36,24,Manual,FALSE,SPS,2
Orphek OR3 Blue Plus 48,Orphek,48,48,24,Manual,FALSE,SPS,2
Orphek OR3 Reef Day Plus 24,Orphek,24,24,24,Manual,FALSE,Mixed Reef,2
Orphek OR3 Reef Day Plus 36,Orphek,36,36,24,Manual,FALSE,Mixed Reef,2
Orphek OR3 Reef Day Plus 48,Orphek,48,48,24,Manual,FALSE,Mixed Reef,2
Atlantik iCon Compact,Orphek,105,24,24,App,FALSE,Mixed Reef,2
Atlantik iCon,Orphek,235,36,36,App,FALSE,SPS,2
NeroGlow 30,Aqua Illumination,30,24,24,App,FALSE,Refugium,1
Fuge LED 1230,Horticulture Lighting Group,30,24,24,Manual,FALSE,Refugium,3
Fuge LED 1365,Horticulture Lighting Group,65,36,24,Manual,FALSE,Refugium,3
Illumagic Blaze X Mini,Illumagic,95,24,24,App,FALSE,Mixed Reef,2
Illumagic Blaze X,Illumagic,150,30,30,App,FALSE,SPS,2
Straton Pro 102,GHL,102,24,24,App,FALSE,Mixed Reef,2
Straton Pro 204,GHL,204,36,36,App,FALSE,SPS,2
X4 PRO Reef LED,Reefi Lab,240,48,24,App,FALSE,SPS,2
X2 PRO Reef LED,Reefi Lab,120,24,24,App,FALSE,Mixed Reef,2
Jump MJ-L165,Maxspect,65,24,24,App,FALSE,Mixed Reef,1
Jump MJ-L260,Maxspect,130,30,30,App,FALSE,SPS,1
Ethereal Infinite E8-230,Maxspect,230,36,36,App,FALSE,SPS,1
Sky Light Hyperbar 24,Sky Light,24,24,24,Manual,FALSE,Mixed Reef,2
Sky Light Hyperbar 36,Sky Light,36,36,24,Manual,FALSE,Mixed Reef,2
Sky Light Hyperbar 48,Sky Light,48,48,24,Manual,FALSE,Mixed Reef,2
Mitras LX 7206,GHL,195,36,36,App,FALSE,SPS,2
Mitras LX 7204,GHL,145,30,30,App,FALSE,Mixed Reef,2
Mitras Slimline 120,GHL,120,48,24,App,FALSE,Mixed Reef,2
Mitras Slimline 150,GHL,150,60,24,App,FALSE,SPS,2
CoralCare Gen 2,Philips,190,36,36,App,FALSE,SPS,2
CoralCare Compact,Philips,95,24,24,App,FALSE,Mixed Reef,2
P4 Reef Light,Quanta Reef,60,24,24,Manual,FALSE,Mixed Reef,1
P4 Reef Light 48,Quanta Reef,120,48,24,Manual,FALSE,SPS,1
Helix Reef Blue 24,Quanta Reef,24,24,24,Manual,FALSE,SPS,1
Helix Reef Blue 48,Quanta Reef,48,48,24,Manual,FALSE,SPS,1
Reef Flare Pro S,Reef Factory,95,24,24,App,FALSE,Mixed Reef,2
Reef Flare Pro M,Reef Factory,145,30,30,App,FALSE,SPS,2
Reef Flare Pro L,Reef Factory,195,36,36,App,FALSE,SPS,2
Zetlight Qmaven II 6600,Zetlight,65,24,24,App,FALSE,Mixed Reef,1
Zetlight Qmaven II 8600,Zetlight,120,30,30,App,FALSE,SPS,1
Zetlight Horizon Aqua 1200,Zetlight,120,48,24,App,FALSE,Mixed Reef,1
Zetlight Horizon Aqua 1500,Zetlight,150,60,24,App,FALSE,SPS,1
ReefBar Pro 24,Reefi Lab,24,24,24,Manual,FALSE,Mixed Reef,2
ReefBar Pro 36,Reefi Lab,36,36,24,Manual,FALSE,Mixed Reef,2
ReefBar Pro 48,Reefi Lab,48,48,24,Manual,FALSE,SPS,2
ReefBar Pro 60,Reefi Lab,60,60,24,Manual,FALSE,SPS,2
XHO Blue LED Strip 24,Reef Brite,24,24,24,Manual,FALSE,SPS,1
XHO Blue LED Strip 36,Reef Brite,36,36,24,Manual,FALSE,SPS,1
