Product Name,Manufacturer,Recommended Tank Size (gal),Air Draw (LPH),Footprint Length (in),Footprint Width (in),Height (in),Pump Included,Warranty (Years)
Reef Octopus Classic 110SSS,Reef Octopus,100,420,8.3,6.7,20.1,TRUE,2
Reef Octopus Classic 150SSS,Reef Octopus,150,600,10.4,7.3,22.8,TRUE,2
Reef Octopus Classic 200INT,Reef Octopus,250,900,12.4,10.2,24.4,TRUE,2
Reef Octopus Elite 150INT,Reef Octopus,180,900,10.6,8.7,22.4,TRUE,2
Reef Octopus Elite 200INT,Reef Octopus,300,1200,12.2,10.2,24.8,TRUE,2
Reef Octopus Elite 220INT,Reef Octopus,400,1500,15.4,11.8,25.6,TRUE,2
Reef Octopus Regal 150SSS,Reef Octopus,150,900,10.4,7.3,22.8,TRUE,2
Reef Octopus Regal 200INT,Reef Octopus,250,1200,12.4,10.2,24.4,TRUE,2
Reef Octopus Regal 250INT,Reef Octopus,400,1800,15.4,11.8,26.0,TRUE,2
Reef Octopus Regal 300EXT,Reef Octopus,600,2500,18.5,14.2,28.3,TRUE,2
Nyos Quantum 120,Nyos,130,500,7.1,5.5,18.9,TRUE,2
Nyos Quantum 160,Nyos,250,1000,7.3,9.4,20.9,TRUE,2
Nyos Quantum 220,Nyos,530,1500,9.8,11.4,23.6,TRUE,2
Bubble King Mini 160,Royal Exclusiv,210,900,9.1,9.1,20.9,TRUE,5
Bubble King Mini 180,Royal Exclusiv,320,1200,11.0,11.0,22.8,TRUE,5
Bubble King Mini 200,Royal Exclusiv,530,1500,12.6,12.6,24.4,TRUE,5
Bubble King Double Cone 180,Royal Exclusiv,400,1500,11.8,11.8,22.8,TRUE,5
Bubble King Double Cone 200,Royal Exclusiv,600,1800,13.4,13.4,24.4,TRUE,5
Bubble Magus Curve 5,Bubble Magus,140,300,7.1,7.9,18.5,TRUE,1
Bubble Magus Curve 7,Bubble Magus,240,520,9.4,8.7,20.5,TRUE,1
Bubble Magus Curve 9,Bubble Magus,400,900,10.6,9.8,22.8,TRUE,1
Bubble Magus Curve 11,Bubble Magus,530,1200,12.2,11.4,24.4,TRUE,1
Deltec 400i,Deltec,265,1000,8.7,6.7,20.9,TRUE,2
Deltec 600i,Deltec,400,1500,10.2,7.9,22.8,TRUE,2
Deltec 1000i,Deltec,660,2000,12.6,9.8,24.4,TRUE,2
Deltec 1500i,Deltec,1000,3000,15.0,11.8,26.8,TRUE,2
Deltec TC 1000ix,Deltec,660,2000,12.6,9.8,24.4,TRUE,2
Deltec TC 1500ix,Deltec,1000,3000,15.0,11.8,26.8,TRUE,2
Aquamaxx ConeS CO-1,Aquamaxx,175,600,8.3,6.3,20.5,TRUE,1
Aquamaxx ConeS CO-2,Aquamaxx,300,1000,10.2,8.3,22.8,TRUE,1
Aquamaxx ConeS CO-3,Aquamaxx,500,1500,12.6,10.2,24.4,TRUE,1
Aquamaxx FC-80,Fish Collection,80,350,7.1,5.9,18.1,TRUE,1
Aquamaxx FC-120,Fish Collection,120,500,8.3,6.3,20.1,TRUE,1
IceCap K1-50,IceCap,65,300,5.9,5.1,18.1,TRUE,1
IceCap K1-100,IceCap,100,500,7.1,5.9,19.7,TRUE,1
IceCap K1-130,IceCap,130,650,8.3,6.3,20.5,TRUE,1
IceCap K1-160,IceCap,160,900,9.4,7.5,22.0,TRUE,1
IceCap K2-120,IceCap,120,500,7.1,5.9,19.7,TRUE,1
IceCap K2-160,IceCap,160,900,9.4,7.5,22.0,TRUE,1
IceCap K2-200,IceCap,250,1200,10.6,8.7,24.0,TRUE,1
Red Sea RSK 300,Red Sea,80,500,7.9,7.1,20.1,TRUE,2
Red Sea RSK 600,Red Sea,160,900,9.8,8.7,22.8,TRUE,2
Red Sea RSK 900,Red Sea,240,1200,11.8,10.2,24.4,TRUE,2
Red Sea REEFER DC Skimmer 300,Red Sea,80,600,7.9,7.1,20.1,TRUE,2
Red Sea REEFER DC Skimmer 600,Red Sea,160,1000,9.8,8.7,22.8,TRUE,2
Red Sea REEFER DC Skimmer 900,Red Sea,240,1400,11.8,10.2,24.4,TRUE,2
Tunze DOC 9001,Tunze,37,150,4.3,3.5,12.0,TRUE,2
Tunze DOC 9004,Tunze,65,300,4.3,3.5,12.0,TRUE,2
Tunze DOC 9012,Tunze,130,900,5.5,4.3,16.3,TRUE,2
Tunze DOC 9410,Tunze,265,1200,9.8,7.1,16.9,TRUE,2
Tunze DOC 9430,Tunze,530,1800,13.0,9.8,22.0,TRUE,2
Eshopps Axium X-120,Eshopps,120,500,7.1,6.3,20.1,TRUE,1
Eshopps Axium X-160,Eshopps,160,900,8.7,7.9,22.0,TRUE,1
Eshopps Axium X-220,Eshopps,220,1200,10.2,8.7,24.0,TRUE,1
Eshopps Axium X-280,Eshopps,280,1500,11.8,10.2,24.8,TRUE,1
Vertex Omega 130,Vertex,120,500,7.1,6.3,20.1,TRUE,2
Vertex Omega 150,Vertex,200,900,8.7,7.9,22.0,TRUE,2
Vertex Omega 180i,Vertex,300,1200,10.2,8.7,24.0,TRUE,2
Vertex Omega 200i,Vertex,450,1500,11.8,10.2,24.8,TRUE,2
Vertex Omega 250,Vertex,700,2200,14.2,11.8,26.8,TRUE,2
