Product Name,Manufacturer,Display Volume (gal),Length (in),Width (in),Height (in),Rimless,Glass Thickness (mm),Overflow Type,Stand Included
MAX NANO G2 Cube Aquarium,Red Sea,20,18.9,18.9,19.7,TRUE,8,None,TRUE
MAX NANO G2 XL Aquarium,Red Sea,33,24,20,20,TRUE,8,None,TRUE
MAX NANO G2 Peninsula Aquarium,Red Sea,26,24,16,20,TRUE,8,None,TRUE
MAX NANO G2 XXL Aquarium,Red Sea,53,24,24,22,TRUE,10,None,TRUE
REEFER 170 G3 Aquarium System,Red Sea,33,24,20,20,TRUE,10,Internal,TRUE
REEFER 200 G3 Aquarium System,Red Sea,42,35.4,22.6,20.9,TRUE,10,Internal,TRUE
REEFER 250 G3 Aquarium System,Red Sea,54,35.4,22.6,22.6,TRUE,12,Internal,TRUE
REEFER 300 G3 Aquarium System,Red Sea,65,47.2,22.6,20.9,TRUE,12,Internal,TRUE
REEFER 350 G3 Aquarium System,Red Sea,72,47.2,22.6,22.6,TRUE,12,Internal,TRUE
REEFER 425 G3 Aquarium System,Red Sea,91,47.2,22.6,27.6,TRUE,15,Internal,TRUE
REEFER 525 G3 Aquarium System,Red Sea,112,59.1,22.6,22.6,TRUE,15,Internal,TRUE
REEFER 625 G3 Aquarium System,Red Sea,132,59.1,22.6,27.6,TRUE,15,Internal,TRUE
REEFER 750 G3 Aquarium System,Red Sea,158,70.9,25.6,22.6,TRUE,19,Internal,TRUE
REEFER S-550 G3 Aquarium System,Red Sea,118,47.2,29.5,25.6,TRUE,19,Internal,TRUE
REEFER S-700 G3 Aquarium System,Red Sea,149,59.1,29.5,25.6,TRUE,19,Internal,TRUE
REEFER S-850 G3 Aquarium System,Red Sea,180,70.9,29.5,25.6,TRUE,19,Internal,TRUE
UNS R60 Reef System,Ultum Nature Systems,32,23.6,19.7,15.7,TRUE,10,Internal,TRUE
UNS R90 Reef System,Ultum Nature Systems,61,35.4,23.6,19.7,TRUE,12,Internal,TRUE
UNS R120 Reef System,Ultum Nature Systems,94,47.2,23.6,19.7,TRUE,15,Internal,TRUE
UNS R150 Reef System,Ultum Nature Systems,118,59.1,23.6,19.7,TRUE,15,Internal,TRUE
MARINE X 60.2 Aquarium System,Waterbox Aquariums,36,23.6,19.7,19.7,TRUE,10,Internal,TRUE
MARINE X 90.3 Aquarium System,Waterbox Aquariums,59,35.4,19.7,19.7,TRUE,12,Internal,TRUE
MARINE X 110.4 Aquarium System,Waterbox Aquariums,79,47.2,19.7,19.7,TRUE,12,Internal,TRUE
MARINE EX 60.2 Aquarium System,Waterbox Aquariums,36,23.6,19.7,19.7,TRUE,10,External,TRUE
MARINE EX 90.3 Aquarium System,Waterbox Aquariums,59,35.4,19.7,19.7,TRUE,12,External,TRUE
MARINE EX 110.4 Aquarium System,Waterbox Aquariums,79,47.2,19.7,19.7,TRUE,12,External,TRUE
INFINIA 150.4 Aquarium System,Waterbox Aquariums,106,59.1,25.6,21.7,TRUE,15,Internal,TRUE
